jurisdiction,yr_id,long_name,units,unoccupiable,occupied,vacancy
La Mesa,2040,Mobile Home,303,2,301,2
La Mesa,2040,Single-family Detached,12396,54,12274,122
La Mesa,2040,Single-family Attached,1805,5,1735,70
La Mesa,2045,Multifamily,16543,54,16000,543
La Mesa,2045,Mobile Home,303,2,301,2
La Mesa,2045,Single-family Detached,12403,54,12276,127
La Mesa,2045,Single-family Attached,1820,5,1738,82
La Mesa,2050,Multifamily,16580,54,16068,512
La Mesa,2050,Mobile Home,303,2,301,2
La Mesa,2050,Single-family Detached,12408,54,12281,127
La Mesa,2050,Single-family Attached,1860,5,1747,113
Lemon Grove,2016,Multifamily,1919,47,1820,99
Lemon Grove,2016,Mobile Home,47,1,46,1
Lemon Grove,2016,Single-family Detached,6327,128,6103,224
Lemon Grove,2016,Single-family Attached,739,13,716,23
Lemon Grove,2018,Multifamily,2004,47,1825,179
Lemon Grove,2018,Mobile Home,47,1,46,1
Lemon Grove,2018,Single-family Detached,6326,128,6104,222
Lemon Grove,2018,Single-family Attached,739,13,716,23
Lemon Grove,2020,Multifamily,2053,47,1879,174
Lemon Grove,2020,Mobile Home,47,1,46,1
Lemon Grove,2020,Single-family Detached,6351,128,6114,237
Lemon Grove,2020,Single-family Attached,739,13,718,21
Lemon Grove,2025,Multifamily,2164,47,1978,186
Lemon Grove,2025,Mobile Home,47,1,46,1
Lemon Grove,2025,Single-family Detached,6399,128,6147,252
Lemon Grove,2025,Single-family Attached,739,13,720,19
Lemon Grove,2030,Multifamily,2290,47,2114,176
Lemon Grove,2030,Mobile Home,47,1,46,1
Lemon Grove,2030,Single-family Detached,6467,128,6179,288
Lemon Grove,2030,Single-family Attached,739,13,722,17
Lemon Grove,2035,Multifamily,2347,47,2171,176
Lemon Grove,2035,Mobile Home,47,1,46,1
Lemon Grove,2035,Single-family Detached,6484,128,6188,296
Lemon Grove,2035,Single-family Attached,739,13,723,16
Lemon Grove,2040,Multifamily,2392,47,2214,178
Lemon Grove,2040,Mobile Home,47,1,46,1
Lemon Grove,2040,Single-family Detached,6486,128,6217,269
Lemon Grove,2040,Single-family Attached,833,13,731,102
Lemon Grove,2045,Multifamily,2420,47,2241,179
Lemon Grove,2045,Mobile Home,47,1,46,1
Lemon Grove,2045,Single-family Detached,6486,128,6217,269
Lemon Grove,2045,Single-family Attached,833,13,732,101
Lemon Grove,2050,Multifamily,2455,47,2275,180
Lemon Grove,2050,Mobile Home,47,1,46,1
Lemon Grove,2050,Single-family Detached,6486,128,6218,268
Lemon Grove,2050,Single-family Attached,833,13,732,101
National City,2016,Multifamily,7068,103,6741,327
National City,2016,Mobile Home,387,3,379,8
National City,2016,Single-family Detached,7390,142,7117,273
National City,2016,Single-family Attached,1796,27,1733,63
National City,2018,Multifamily,7469,103,6915,554
National City,2018,Mobile Home,387,3,379,8
National City,2018,Single-family Detached,7396,142,7121,275
National City,2018,Single-family Attached,1795,27,1735,60
National City,2020,Multifamily,7855,103,7244,611
National City,2020,Mobile Home,387,3,380,7
National City,2020,Single-family Detached,7399,142,7128,271
National City,2020,Single-family Attached,1795,27,1736,59
National City,2025,Multifamily,8687,103,7942,745
National City,2025,Mobile Home,387,3,381,6
National City,2025,Single-family Detached,7428,142,7144,284
National City,2025,Single-family Attached,1795,27,1739,56
National City,2030,Multifamily,9756,103,8825,931
National City,2030,Mobile Home,387,3,384,3
National City,2030,Single-family Detached,7476,142,7207,269
National City,2030,Single-family Attached,1801,27,1749,52
National City,2035,Multifamily,10768,103,9692,1076
National City,2035,Mobile Home,387,3,384,3
National City,2035,Single-family Detached,7493,142,7242,251
National City,2035,Single-family Attached,1808,27,1759,49
National City,2040,Multifamily,10990,103,9983,1007
National City,2040,Mobile Home,387,3,384,3
National City,2040,Single-family Detached,7493,142,7254,239
National City,2040,Single-family Attached,2031,27,1799,232
National City,2045,Multifamily,10990,103,10337,653
National City,2045,Mobile Home,387,3,384,3
National City,2045,Single-family Detached,7493,142,7279,214
National City,2045,Single-family Attached,2031,27,1862,169
National City,2050,Multifamily,10990,103,10486,504
National City,2050,Mobile Home,387,3,384,3
