tract,yr_id,name,households
100.09,2022,"Less than $15,000",205
100.09,2022,"$15,000 to $29,999",184
100.09,2022,"$30,000 to $44,999",131
100.09,2022,"$45,000 to $59,999",253
100.09,2022,"$60,000 to $74,999",218
100.09,2022,"$75,000 to $99,999",188
100.09,2022,"$100,000 to $124,999",65
100.09,2022,"$125,000 to $149,999",109
100.09,2022,"$150,000 to $199,999",179
100.09,2022,"$200,000 or more",122
100.1,2020,"Less than $15,000",170
100.1,2020,"$15,000 to $29,999",293
100.1,2020,"$30,000 to $44,999",305
100.1,2020,"$45,000 to $59,999",236
100.1,2020,"$60,000 to $74,999",179
100.1,2020,"$75,000 to $99,999",232
100.1,2020,"$100,000 to $124,999",88
100.1,2020,"$125,000 to $149,999",90
100.1,2020,"$150,000 to $199,999",18
100.1,2020,"$200,000 or more",41
100.1,2021,"Less than $15,000",202
100.1,2021,"$15,000 to $29,999",202
100.1,2021,"$30,000 to $44,999",241
100.1,2021,"$45,000 to $59,999",159
100.1,2021,"$60,000 to $74,999",173
100.1,2021,"$75,000 to $99,999",329
100.1,2021,"$100,000 to $124,999",138
100.1,2021,"$125,000 to $149,999",76
100.1,2021,"$150,000 to $199,999",81
100.1,2021,"$200,000 or more",30
100.1,2022,"Less than $15,000",154
100.1,2022,"$15,000 to $29,999",214
100.1,2022,"$30,000 to $44,999",264
100.1,2022,"$45,000 to $59,999",185
100.1,2022,"$60,000 to $74,999",173
100.1,2022,"$75,000 to $99,999",325
100.1,2022,"$100,000 to $124,999",131
100.1,2022,"$125,000 to $149,999",70
100.1,2022,"$150,000 to $199,999",88
100.1,2022,"$200,000 or more",29
100.11,2020,"Less than $15,000",37
100.11,2020,"$15,000 to $29,999",66
100.11,2020,"$30,000 to $44,999",40
100.11,2020,"$45,000 to $59,999",96
100.11,2020,"$60,000 to $74,999",111
100.11,2020,"$75,000 to $99,999",199
100.11,2020,"$100,000 to $124,999",78
100.11,2020,"$125,000 to $149,999",13
100.11,2020,"$150,000 to $199,999",225
100.11,2020,"$200,000 or more",60
100.11,2021,"Less than $15,000",48
100.11,2021,"$15,000 to $29,999",58
100.11,2021,"$30,000 to $44,999",23
100.11,2021,"$45,000 to $59,999",58
100.11,2021,"$60,000 to $74,999",94
100.11,2021,"$75,000 to $99,999",199
100.11,2021,"$100,000 to $124,999",82
100.11,2021,"$125,000 to $149,999",43
100.11,2021,"$150,000 to $199,999",241
100.11,2021,"$200,000 or more",63
100.11,2022,"Less than $15,000",33
100.11,2022,"$15,000 to $29,999",60
100.11,2022,"$30,000 to $44,999",23
100.11,2022,"$45,000 to $59,999",70
100.11,2022,"$60,000 to $74,999",91
100.11,2022,"$75,000 to $99,999",199
100.11,2022,"$100,000 to $124,999",79
100.11,2022,"$125,000 to $149,999",43
100.11,2022,"$150,000 to $199,999",249
100.11,2022,"$200,000 or more",65
100.12,2020,"Less than $15,000",154
100.12,2020,"$15,000 to $29,999",68
100.12,2020,"$30,000 to $44,999",170
100.12,2020,"$45,000 to $59,999",153
100.12,2020,"$60,000 to $74,999",139
100.12,2020,"$75,000 to $99,999",207
100.12,2020,"$100,000 to $124,999",60
100.12,2020,"$125,000 to $149,999",45
100.12,2020,"$150,000 to $199,999",106
100.12,2020,"$200,000 or more",115
100.12,2021,"Less than $15,000",204
100.12,2021,"$15,000 to $29,999",65
100.12,2021,"$30,000 to $44,999",159
100.12,2021,"$45,000 to $59,999",113
100.12,2021,"$60,000 to $74,999",124
100.12,2021,"$75,000 to $99,999",137
100.12,2021,"$100,000 to $124,999",111
100.12,2021,"$125,000 to $149,999",50
100.12,2021,"$150,000 to $199,999",147
100.12,2021,"$200,000 or more",92
100.12,2022,"Less than $15,000",153
100.12,2022,"$15,000 to $29,999",68
100.12,2022,"$30,000 to $44,999",175
100.12,2022,"$45,000 to $59,999",135
100.12,2022,"$60,000 to $74,999",123
100.12,2022,"$75,000 to $99,999",137
100.12,2022,"$100,000 to $124,999",109
100.12,2022,"$125,000 to $149,999",50
100.12,2022,"$150,000 to $199,999",153
100.12,2022,"$200,000 or more",97
100.13,2020,"Less than $15,000",165
100.13,2020,"$15,000 to $29,999",209
100.13,2020,"$30,000 to $44,999",184
100.13,2020,"$45,000 to $59,999",136
100.13,2020,"$60,000 to $74,999",173
100.13,2020,"$75,000 to $99,999",356
100.13,2020,"$100,000 to $124,999",125
100.13,2020,"$125,000 to $149,999",72
100.13,2020,"$150,000 to $199,999",6
100.13,2020,"$200,000 or more",33
100.13,2021,"Less than $15,000",149
100.13,2021,"$15,000 to $29,999",239
100.13,2021,"$30,000 to $44,999",211
100.13,2021,"$45,000 to $59,999",154
100.13,2021,"$60,000 to $74,999",224
100.13,2021,"$75,000 to $99,999",321
100.13,2021,"$100,000 to $124,999",145
100.13,2021,"$125,000 to $149,999",92
100.13,2021,"$150,000 to $199,999",5
100.13,2021,"$200,000 or more",35
100.13,2022,"Less than $15,000",113
100.13,2022,"$15,000 to $29,999",249
100.13,2022,"$30,000 to $44,999",235
100.13,2022,"$45,000 to $59,999",180
100.13,2022,"$60,000 to $74,999",224
100.13,2022,"$75,000 to $99,999",313
100.13,2022,"$100,000 to $124,999",136
100.13,2022,"$125,000 to $149,999",89
100.13,2022,"$150,000 to $199,999",5
100.13,2022,"$200,000 or more",35
100.15,2020,"Less than $15,000",25
100.15,2020,"$15,000 to $29,999",38
100.15,2020,"$30,000 to $44,999",13
100.15,2020,"$45,000 to $59,999",59
100.15,2020,"$60,000 to $74,999",53
100.15,2020,"$75,000 to $99,999",87
100.15,2020,"$100,000 to $124,999",181
100.15,2020,"$125,000 to $149,999",163
100.15,2020,"$150,000 to $199,999",115
100.15,2020,"$200,000 or more",196
100.15,2021,"Less than $15,000",7
100.15,2021,"$15,000 to $29,999",77
100.15,2021,"$30,000 to $44,999",9
100.15,2021,"$45,000 to $59,999",39
100.15,2021,"$60,000 to $74,999",112
100.15,2021,"$75,000 to $99,999",58
100.15,2021,"$100,000 to $124,999",135
100.15,2021,"$125,000 to $149,999",103
100.15,2021,"$150,000 to $199,999",156
100.15,2021,"$200,000 or more",220
100.15,2022,"Less than $15,000",7
100.15,2022,"$15,000 to $29,999",83
100.15,2022,"$30,000 to $44,999",14
100.15,2022,"$45,000 to $59,999",48
100.15,2022,"$60,000 to $74,999",116
100.15,2022,"$75,000 to $99,999",59
100.15,2022,"$100,000 to $124,999",136
100.15,2022,"$125,000 to $149,999",106
100.15,2022,"$150,000 to $199,999",170
100.15,2022,"$200,000 or more",235
100.16,2020,"Less than $15,000",0
100.16,2020,"$15,000 to $29,999",0
100.16,2020,"$30,000 to $44,999",0
100.16,2020,"$45,000 to $59,999",0
100.16,2020,"$60,000 to $74,999",0
100.16,2020,"$75,000 to $99,999",0
100.16,2020,"$100,000 to $124,999",0
100.16,2020,"$125,000 to $149,999",0
100.16,2020,"$150,000 to $199,999",0
100.16,2020,"$200,000 or more",0
100.16,2021,"Less than $15,000",0
100.16,2021,"$15,000 to $29,999",0
100.16,2021,"$30,000 to $44,999",0
100.16,2021,"$45,000 to $59,999",0
100.16,2021,"$60,000 to $74,999",0
100.16,2021,"$75,000 to $99,999",0
100.16,2021,"$100,000 to $124,999",0
100.16,2021,"$125,000 to $149,999",0
100.16,2021,"$150,000 to $199,999",0
100.16,2021,"$200,000 or more",0
100.16,2022,"Less than $15,000",0
100.16,2022,"$15,000 to $29,999",0
100.16,2022,"$30,000 to $44,999",0
100.16,2022,"$45,000 to $59,999",0
100.16,2022,"$60,000 to $74,999",0
100.16,2022,"$75,000 to $99,999",0
100.16,2022,"$100,000 to $124,999",0
100.16,2022,"$125,000 to $149,999",0
100.16,2022,"$150,000 to $199,999",0
100.16,2022,"$200,000 or more",0
100.17,2020,"Less than $15,000",76
100.17,2020,"$15,000 to $29,999",35
100.17,2020,"$30,000 to $44,999",64
100.17,2020,"$45,000 to $59,999",108
100.17,2020,"$60,000 to $74,999",47
100.17,2020,"$75,000 to $99,999",193
100.17,2020,"$100,000 to $124,999",197
100.17,2020,"$125,000 to $149,999",264
100.17,2020,"$150,000 to $199,999",211
100.17,2020,"$200,000 or more",291
100.17,2021,"Less than $15,000",57
100.17,2021,"$15,000 to $29,999",54
100.17,2021,"$30,000 to $44,999",101
100.17,2021,"$45,000 to $59,999",145
100.17,2021,"$60,000 to $74,999",91
100.17,2021,"$75,000 to $99,999",269
100.17,2021,"$100,000 to $124,999",202
100.17,2021,"$125,000 to $149,999",185
100.17,2021,"$150,000 to $199,999",210
100.17,2021,"$200,000 or more",219
100.17,2022,"Less than $15,000",42
100.17,2022,"$15,000 to $29,999",57
100.17,2022,"$30,000 to $44,999",109
100.17,2022,"$45,000 to $59,999",167
100.17,2022,"$60,000 to $74,999",88
100.17,2022,"$75,000 to $99,999",269
100.17,2022,"$100,000 to $124,999",192
100.17,2022,"$125,000 to $149,999",177
100.17,2022,"$150,000 to $199,999",213
100.17,2022,"$200,000 or more",221
100.18,2020,"Less than $15,000",22
100.18,2020,"$15,000 to $29,999",182
100.18,2020,"$30,000 to $44,999",76
100.18,2020,"$45,000 to $59,999",116
100.18,2020,"$60,000 to $74,999",333
100.18,2020,"$75,000 to $99,999",344
100.18,2020,"$100,000 to $124,999",228
100.18,2020,"$125,000 to $149,999",220
100.18,2020,"$150,000 to $199,999",176
100.18,2020,"$200,000 or more",182
100.18,2021,"Less than $15,000",34
100.18,2021,"$15,000 to $29,999",213
100.18,2021,"$30,000 to $44,999",125
100.18,2021,"$45,000 to $59,999",98
100.18,2021,"$60,000 to $74,999",281
100.18,2021,"$75,000 to $99,999",225
100.18,2021,"$100,000 to $124,999",249
100.18,2021,"$125,000 to $149,999",185
100.18,2021,"$150,000 to $199,999",185
100.18,2021,"$200,000 or more",257
100.18,2022,"Less than $15,000",26
100.18,2022,"$15,000 to $29,999",218
100.18,2022,"$30,000 to $44,999",134
100.18,2022,"$45,000 to $59,999",111
100.18,2022,"$60,000 to $74,999",281
100.18,2022,"$75,000 to $99,999",221
100.18,2022,"$100,000 to $124,999",235
100.18,2022,"$125,000 to $149,999",174
100.18,2022,"$150,000 to $199,999",189
100.18,2022,"$200,000 or more",265
100.19,2020,"Less than $15,000",0
100.19,2020,"$15,000 to $29,999",0
100.19,2020,"$30,000 to $44,999",66
100.19,2020,"$45,000 to $59,999",20
